"","y0","site","subpop","id","area","areaNext","ht","htNext","logA","logAp","flower_p","flower","surv"
"58",2014,"Den Hill Preserve","B",38,130,130,NA,NA,2.11394335230684,2.11394335230684,0,"FF",1
"59",2014,"Den Hill Preserve","B",39,105,110,NA,NA,2.02118929906994,2.04139268515822,0,"FF",1
"60",2014,"Den Hill Preserve","B",40,145,240,NA,NA,2.16136800223497,2.38021124171161,0,"FF",1
"61",2014,"Den Hill Preserve","B",41,160,70,NA,75,2.20411998265592,1.84509804001426,1,"FF",1
"62",2014,"Den Hill Preserve","B",42,200,185,NA,103,2.30102999566398,2.26717172840301,1,"FF",1
"63",2014,"Den Hill Preserve","B",43,105,55,NA,NA,2.02118929906994,1.74036268949424,0,"FF",1
"64",2014,"Den Hill Preserve","B",44,60,30,NA,NA,1.77815125038364,1.47712125471966,0,"FF",1
"65",2014,"Den Hill Preserve","B",45,35,NA,NA,NA,1.54406804435028,NA,0,"FF",0
"66",2014,"Den Hill Preserve","B",46,65,50,NA,NA,1.81291335664286,1.69897000433602,0,"FF",1
"67",2014,"Den Hill Preserve","B",47,40,50,NA,NA,1.60205999132796,1.69897000433602,0,"FF",1
"68",2014,"Den Hill Preserve","B",48,80,75,NA,NA,1.90308998699194,1.8750612633917,0,"FF",1
"69",2014,"Den Hill Preserve","B",49,105,60,NA,NA,2.02118929906994,1.77815125038364,0,"FF",1
"70",2014,"Den Hill Preserve","B",50,130,120,60,NA,2.11394335230684,2.07918124604762,0,"FL",1
"71",2014,"Den Hill Preserve","B",51,135,100,60,NA,2.13033376849501,2,0,"FL",1
"72",2014,"Den Hill Preserve","B",52,120,NA,NA,NA,2.07918124604762,NA,0,"FF",0
"73",2014,"Den Hill Preserve","B",53,135,45,NA,NA,2.13033376849501,1.65321251377534,0,"FF",1
"74",2014,"Den Hill Preserve","B",54,170,100,NA,NA,2.23044892137827,2,0,"FF",1
"75",2014,"Den Hill Preserve","B",55,145,65,NA,NA,2.16136800223497,1.81291335664286,0,"FF",1
"76",2014,"Den Hill Preserve","B",56,160,180,NA,71,2.20411998265592,2.25527250510331,1,"FF",1
"77",2014,"Den Hill Preserve","B",57,135,120,NA,NA,2.13033376849501,2.07918124604762,0,"FF",1
"78",2014,"Den Hill Preserve","B",58,270,290,NA,52,2.43136376415899,2.46239799789896,1,"FF",1
"79",2014,"Den Hill Preserve","B",59,140,80,NA,NA,2.14612803567824,1.90308998699194,0,"FF",1
"80",2014,"Den Hill Preserve","B",60,135,120,NA,NA,2.13033376849501,2.07918124604762,0,"FF",1
"81",2014,"Den Hill Preserve","B",61,105,90,NA,NA,2.02118929906994,1.95424250943932,0,"FF",1
"82",2014,"Den Hill Preserve","B",62,230,260,NA,NA,2.36172783601759,2.41497334797082,0,"FF",1
"83",2014,"Den Hill Preserve","B",63,45,20,NA,NA,1.65321251377534,1.30102999566398,0,"FF",1
"84",2014,"Den Hill Preserve","B",64,50,150,NA,NA,1.69897000433602,2.17609125905568,0,"FF",1
"85",2014,"Den Hill Preserve","B",65,85,90,NA,NA,1.92941892571429,1.95424250943932,0,"FF",1
"86",2014,"Den Hill Preserve","B",66,85,110,NA,NA,1.92941892571429,2.04139268515822,0,"FF",1
"87",2014,"Den Hill Preserve","B",67,240,220,NA,NA,2.38021124171161,2.34242268082221,0,"FF",1
"88",2014,"Den Hill Preserve","B",68,190,210,NA,NA,2.27875360095283,2.32221929473392,0,"FF",1
"89",2014,"Den Hill Preserve","B",69,135,130,NA,NA,2.13033376849501,2.11394335230684,0,"FF",1
"90",2014,"Den Hill Preserve","B",70,130,40,NA,NA,2.11394335230684,1.60205999132796,0,"FF",1
"91",2014,"Den Hill Preserve","B",71,45,30,NA,NA,1.65321251377534,1.47712125471966,0,"FF",1
"92",2014,"Den Hill Preserve","B",72,120,40,NA,NA,2.07918124604762,1.60205999132796,0,"FF",1
"93",2014,"Den Hill Preserve","B",73,160,100,NA,NA,2.20411998265592,2,0,"FF",1
"94",2014,"Den Hill Preserve","B",74,120,90,NA,NA,2.07918124604762,1.95424250943932,0,"FF",1
"95",2014,"Den Hill Preserve","B",75,45,40,NA,NA,1.65321251377534,1.60205999132796,0,"FF",1
"96",2014,"Den Hill Preserve","B",76,65,60,NA,NA,1.81291335664286,1.77815125038364,0,"FF",1
"97",2014,"Den Hill Preserve","B",77,50,60,NA,NA,1.69897000433602,1.77815125038364,0,"FF",1
"98",2014,"Den Hill Preserve","B",78,65,90,NA,NA,1.81291335664286,1.95424250943932,0,"FF",1
"99",2014,"Den Hill Preserve","B",79,195,NA,NA,NA,2.29003461136252,NA,0,"FF",0
"100",2014,"Den Hill Preserve","B",80,175,50,NA,NA,2.24303804868629,1.69897000433602,0,"FF",1
"101",2014,"Den Hill Preserve","B",81,45,NA,NA,NA,1.65321251377534,NA,0,"FF",0
"102",2014,"Den Hill Preserve","B",82,25,NA,NA,NA,1.39794000867204,NA,0,"FF",0
"103",2014,"Den Hill Preserve","B",83,35,60,NA,NA,1.54406804435028,1.77815125038364,0,"FF",1
